airline_name,contact_email,contact_phone
American Airlines,contact@americanairlines.com,+1-800-687-6016
Delta Airlines,contact@deltaairlines.com,+1-800-117-1678
United Airlines,contact@unitedairlines.com,+1-800-808-4360
Southwest Airlines,contact@southwestairlines.com,+1-800-360-7284
Air France,contact@airfrance.com,+1-800-471-8111
Lufthansa,contact@lufthansa.com,+1-800-748-3636
British Airways,contact@britishairways.com,+1-800-160-9479
Qatar Airways,contact@qatarairways.com,+1-800-189-2611
Singapore Airlines,contact@singaporeairlines.com,+1-800-363-5913
Emirates,contact@emirates.com,+1-800-789-2684
Etihad Airways,contact@etihadairways.com,+1-800-581-6311
Turkish Airlines,contact@turkishairlines.com,+1-800-689-7220
Korean Air,contact@koreanair.com,+1-800-675-8233
Japan Airlines,contact@japanairlines.com,+1-800-450-8194
Air India,contact@airindia.com,+1-800-488-9596
Cathay Pacific,contact@cathaypacific.com,+1-800-141-8038
Thai Airways,contact@thaiairways.com,+1-800-678-8610
Qantas,contact@qantas.com,+1-800-630-4528
Alaska Airlines,contact@alaskaairlines.com,+1-800-886-3633
JetBlue,contact@jetblue.com,+1-800-252-6280
